"id","num_scars","num_tattoos","num_other_marks"
"A00147",2,1,0
"A00220",2,0,0
"A00360",1,1,0
"A00367",1,0,0
"A01054",3,0,0
"A01072",1,0,0
"A01077",0,1,0
"A01148",4,1,0
"A01157",1,0,0
"A01181",1,2,0
"A01237",2,0,0
"A01258",0,0,1
"A01285",0,0,1
"A01349",0,0,1
"A01356",0,2,0
"A01365",2,1,1
"A01399",0,2,1
"A01411",0,2,2
"A01422",2,0,0
"A01457",3,1,0
"A01467",0,0,1
"A01531",0,0,1
"A01615",0,0,1
"A01676",0,0,1
"A01680",4,0,0
"A01681",0,0,1
"A01694",2,0,0
"A01729",2,2,0
"A01736",0,2,2
"A01759",0,1,0
"A01796",1,4,0
"A01806",0,0,1
"A01815",0,0,1
"A01824",0,0,1
"A01834",1,2,0
"A01860",3,0,0
"A01889",0,1,0
"A01906",1,4,0
"A01909",3,0,0
"A01929",0,0,1
"A01939",0,1,1
"A01950",2,0,0
"A01958",2,2,0
"A01990",1,1,0
"A01996",0,0,1
"A02005",2,1,0
"A02008",0,4,0
"A02049",0,1,0
"A02074",1,0,0
"A02077",0,0,1
"A02079",3,1,0
"A02088",0,3,0
"A02099",1,0,0
"A02133",3,0,2
"A02232",5,0,0
"A02244",2,1,0
"A02270",1,3,0
"A02306",2,3,0
"A02312",0,0,1
"A02350",2,0,0
"A02376",1,2,0
"A02436",3,0,0
"A06045",2,1,0
"A06264",0,3,0
"A06342",1,0,0
"A08064",0,0,1
"A08086",1,4,0
"A08095",1,0,0
"A08141",0,3,0
"A08225",1,0,0
"A08230",1,4,0
"A08240",1,4,0
"A08307",0,0,1
"A10002",1,3,1
"A10008",1,4,0
"A10037",2,0,0
"A10133",0,5,0
"A10157",1,1,0
"A10165",1,3,1
"A10203",0,0,1
"A10300",2,2,1
"A10307",0,0,1
"A10309",0,5,0
"A10388",2,0,0
"A10397",2,1,0
"A10398",0,5,0
"A10410",1,3,0
"A10413",0,0,1
"A10447",2,1,0
"A10459",0,4,0
"A10465",1,3,0
"A10480",1,0,0
"A10487",1,2,0
"A10506",1,1,0
"A10508",1,0,0
"A10510",0,0,1
"A10514",1,1,0
"A10574",0,5,0
"A10582",2,0,0
"A10628",0,5,0
"A10654",1,0,4
"A10656",0,5,0
"A10695",2,0,0
"A10763",4,0,0
"A10859",1,2,0
"A10883",0,2,2
"A10913",2,0,0
"A10935",1,4,0
"A10936",0,0,1
"A10938",0,2,0
"A10939",1,0,0
"A10940",1,3,1
"A10951",1,4,0
"A10970",1,1,0
"A11005",0,0,1
"A11030",1,4,0
"A11128",1,1,0
"A15031",0,0,1
"A15096",1,2,2
"A15110",1,0,0
"A15155",0,0,1
"A15167",3,2,0
"A15172",3,1,0
"A15182",1,3,0
"A15205",2,1,0
"A15210",2,0,0
"A15211",0,1,0
"A15212",0,4,0
"A15243",0,1,0
"A15306",1,0,2
"A15324",2,0,0
"A15336",1,0,0
"A15347",2,0,0
"A15380",0,2,0
"A15385",1,0,0
"A15421",0,0,1
"A15423",1,1,0
"A15491",0,0,1
"A15497",1,0,0
"A15561",1,0,0
"A15580",3,1,0
"A15590",4,0,0
"A15602",1,2,0
"A15612",4,0,0
"A15639",0,0,1
"A15644",0,4,0
"A15655",1,0,1
"A15657",2,2,0
"A15702",1,2,0
"A15776",2,2,0
"A15810",2,0,2
"A15828",3,0,0
"A15829",0,0,1
"A15834",1,0,0
"A15856",0,3,1
"A20093",2,0,0
"A20097",0,0,1
"A25050",0,1,0
"A25088",0,2,0
"A25100",1,3,0
"A25160",0,5,0
"A25186",0,1,0
"A25193",2,0,1
"A26050",1,1,3
"A50005",0,0,1
"A50013",0,5,0
"A50089",1,0,0
"A50119",3,0,0
"A50173",0,3,0
"A50191",1,4,0
"A50207",0,1,0
"A50229",1,0,0
"A50273",0,3,0
"A50321",0,3,0
"A50324",2,0,0
"A50330",1,3,0
"A50367",0,4,0
"A50446",2,1,0
"A50517",2,2,0
"A50585",2,0,0
"A50669",2,2,0
"A50676",1,0,0
"A50692",1,1,1
"A50716",4,1,0
"A50773",1,0,0
"A50779",0,4,0
"A50844",2,0,1
"A50947",2,2,1
"A50955",1,1,0
"A50993",2,1,0
"A51054",0,2,0
"A51082",0,0,1
"A51149",2,0,1
"A51174",0,0,1
"A51196",2,1,0
"A51233",1,4,0
"A51236",2,0,0
"A51240",1,1,0
"A51322",0,3,0
"A51344",3,0,1
"A51368",3,0,0
"A51372",0,0,1
"A51378",1,0,0
"A56009",0,1,0
"A56059",0,4,1
