"PrincipalComponents","CV_MSE","Best_Lambda","Size"
2,6.3738402717885,7941451719.02934,0
3,6.45598210708485,907.732652521022,0
4,6.38604490431606,939.664831495469,0
5,6.38660218335572,7012063589.00718,0
6,6.4147401422614,7175560918.93692,0
7,6.43227440506528,8126619200.09195,0
8,6.40817206573953,7868571506.93684,0
9,6.38788305166042,655.868565957143,0
10,6.39393150140216,972.720319245054,0
11,6.65151042852897,6604193962.33031,0
12,6.36697305234077,914.031074875623,0
13,6.36696389913479,972.720319245054,0
14,6.40712593660794,986.265846131282,0
15,6.36808076702406,763.629826128224,0
16,6.32971024512239,933.189771573324,0
17,6.45858643424183,688.39520696455,0
18,6.62297081310792,858.882855954625,0
19,6.41755651373629,1e+10,0
20,6.39784719585552,404.209583979631,0
21,6.46373858412945,763.629826128224,0
22,6.48658786676952,907.732652521022,0
23,6.40530918311852,907.732652521022,0
24,6.37709932565501,972.720319245054,0
25,6.43410961297787,2974907547.21444,0
26,6.53357747576082,966.017479952265,0
27,6.54632582813519,747.952251562182,0
28,6.34073347348872,2974907547.21444,0
29,6.37413795477524,920.373199661822,0
30,6.50142004589472,952.750047242729,0
31,6.43271851616141,801.500696156541,0
32,6.38863812932343,3353710152.00293,0
33,6.49480751671064,972.720319245054,0
34,6.43082642018733,1e+10,0
35,6.58807978309541,933.189771573324,0
36,6.33382639839823,972.720319245054,0
37,6.40960389069411,858.882855954625,0
38,6.42886712907959,972.720319245054,0
39,6.49618303993034,8239785684.52851,0
40,6.32229697105213,907.732652521022,0
41,6.60231669473914,972.720319245054,0
42,6.38393475082803,972.720319245054,0
43,6.45107757789164,986.265846131282,0
44,6.43115230631231,763.629826128224,0
45,6.29609405459803,7832382599.1792,0
46,6.52495808692095,7868571506.93684,0
47,6.50741673982169,747.952251562182,0
48,6.35573794739172,747.952251562182,0
49,6.40695741379692,5994842503.18942,0
50,6.45886834121335,920.373199661822,0
