"PrincipalComponents_radSVM","CV_MSE_radSVM","Best_Cost_radSVM","Best_Gamma_radSVM"
5,0.180555555555556,66.67,0.0078
6,0.241666666666667,100,0.0067
7,0.216666666666667,11.12,1.12
8,0.181944444444444,4500,0.0034
9,0.158333333333333,88.89,0.01
10,0.193055555555556,55.56,0.01
11,0.233333333333333,88.89,0.0078
12,0.213888888888889,11.12,0.0089
13,0.193055555555556,11.12,0.0034
14,0.184722222222222,22.23,0.0034
15,0.144444444444444,22.23,0.0078
16,0.133333333333333,44.45,0.0089
17,0.154166666666667,22.23,0.0067
18,0.134722222222222,22.23,0.0056
19,0.155555555555556,44.45,0.0045
20,0.169444444444444,33.34,0.0067
21,0.119444444444444,44.45,0.0045
22,0.131944444444444,44.45,0.0045
23,0.133333333333333,77.78,0.0034
24,0.2,77.78,0.0034
25,0.190277777777778,77.78,0.0023
26,0.136111111111111,44.45,0.0045
27,0.166666666666667,66.67,0.0023
28,0.186111111111111,55.56,0.0023
29,0.156944444444444,77.78,0.0023
30,0.108333333333333,77.78,0.0023
31,0.180555555555556,55.56,0.0012
32,0.158333333333333,88.89,0.0023
33,0.145833333333333,66.67,0.0023
34,0.166666666666667,77.78,0.0023
35,0.191666666666667,66.67,0.0023
36,0.168055555555556,33.34,0.0056
37,0.131944444444444,100,0.0012
38,0.163888888888889,44.45,0.0023
39,0.156944444444444,44.45,0.0023
40,0.168055555555556,66.67,0.0023
41,0.130555555555556,22.23,0.0034
42,0.147222222222222,100,0.0012
43,0.154166666666667,100,0.0012
44,0.147222222222222,88.89,0.0012
45,0.201388888888889,66.67,0.0012
46,0.130555555555556,77.78,0.0012
47,0.195833333333333,33.34,0.0023
48,0.168055555555556,77.78,0.0012
49,0.190277777777778,88.89,0.0012
50,0.204166666666667,66.67,0.0012
51,0.166666666666667,33.34,0.0023
52,0.208333333333333,100,0.0012
53,0.179166666666667,44.45,0.0023
54,0.204166666666667,11.12,0.0023
55,0.218055555555556,33.34,0.0012
56,0.180555555555556,66.67,0.0012
57,0.193055555555556,33.34,0.0012
58,0.179166666666667,44.45,0.0023
59,0.193055555555556,22.23,0.0012
60,0.154166666666667,77.78,0.0012
