"PrincipalComponents","CV_MSE","Best_Cost"
1,0.591666666666667,1
2,0.568055555555556,1
3,0.616666666666667,1
4,0.652777777777778,1
5,0.579166666666667,1
6,0.613888888888889,1
7,0.547222222222222,1
8,0.648611111111111,1
9,0.613888888888889,1
10,0.652777777777778,1
11,0.580555555555556,1
12,0.629166666666667,1
13,0.643055555555556,1
14,0.651388888888889,1
15,0.580555555555556,1
16,0.6625,1
17,0.570833333333333,1
18,0.636111111111111,1
19,0.625,1
20,0.593055555555556,1
21,0.663888888888889,1
22,0.623611111111111,1
23,0.572222222222222,1
24,0.594444444444444,1
25,0.6625,1
26,0.648611111111111,1
27,0.563888888888889,1
28,0.609722222222222,1
29,0.602777777777778,1
30,0.591666666666667,1
31,0.604166666666667,1
32,0.601388888888889,1
33,0.604166666666667,1
34,0.531944444444444,1
35,0.531944444444444,1
36,0.5125,1
37,0.623611111111111,1
38,0.533333333333333,1
39,0.663888888888889,1
40,0.644444444444444,1
41,0.570833333333333,1
42,0.615277777777778,1
43,0.651388888888889,1
44,0.540277777777778,1
45,0.577777777777778,1
46,0.686111111111111,1
47,0.684722222222222,1
48,0.677777777777778,1
49,0.625,1
50,0.675,1
